Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C4832,P339,Category_9,23.26,2023-04-12
C3483,P059,Category_5,306.73,2023-10-06
C1842,P332,Category_6,253.83,2023-03-18
C2177,P424,Category_1,30.48,2023-03-14
C0585,P031,Category_6,142.93,2023-03-26
C2520,P305,Category_7,454.59,2023-10-19
C2365,P225,Category_6,123.58,2023-03-05
C3840,P353,Category_5,76.72,2023-06-05
C3298,P483,Category_10,247.28,2023-05-20
C4100,P277,Category_10,492.9,2023-09-10
C3587,P042,Category_10,124.82,2023-11-03
C0327,P456,Category_1,337.71,2023-08-10
C2641,P310,Category_5,382.0,2023-05-09
C0212,P047,Category_2,122.63,2023-04-28
C4713,P301,Category_10,365.47,2023-01-11
C2208,P296,Category_7,187.05,2023-01-21
C1436,P241,Category_7,317.99,2023-09-23
C3623,P470,Category_9,318.6,2023-05-23
C1487,P300,Category_10,270.21,2023-08-12
C4029,P497,Category_8,49.69,2023-02-16
C3851,P179,Category_7,418.47,2023-07-29
C2731,P165,Category_10,163.79,2023-12-10
C0857,P440,Category_10,97.33,2023-03-24
C2702,P211,Category_8,25.18,2023-12-22
C4059,P148,Category_4,297.49,2023-12-06
C3281,P417,Category_4,340.39,2023-10-09
C0301,P233,Category_6,13.21,2023-02-15
C2577,P130,Category_2,258.49,2023-06-15
C0950,P497,Category_8,117.12,2023-07-26
C4216,P423,Category_4,324.36,2023-01-01
C4445,P237,Category_4,91.31,2023-07-31
C0445,P097,Category_8,347.01,2023-09-23
C2964,P319,Category_6,196.43,2023-09-13
C3622,P390,Category_5,468.68,2023-01-27
C1668,P137,Category_3,73.07,2023-10-09
C1074,P475,Category_5,173.83,2023-05-28
C3590,P451,Category_2,61.17,2023-12-24
C3971,P063,Category_7,462.72,2023-01-15
C4988,P410,Category_4,439.28,2023-05-03
C1298,P160,Category_6,132.68,2023-10-10
C0113,P283,Category_10,331.69,2023-07-28
C0764,P116,Category_2,409.52,2023-02-28
C3781,P485,Category_7,279.82,2023-03-02
C1262,P256,Category_7,267.18,2023-05-30
C4169,P362,Category_5,124.72,2023-05-20
C3404,P428,Category_5,51.09,2023-09-05
C3869,P125,Category_8,449.12,2023-08-22
C4516,P075,Category_9,450.71,2023-07-16
C1562,P472,Category_7,318.39,2023-11-03
C4164,P383,Category_6,172.82,2023-03-11
C0572,P142,Category_3,177.86,2023-08-01
C2785,P479,Category_7,364.35,2023-09-17
C2189,P421,Category_5,449.07,2023-01-02
C2318,P372,Category_3,444.11,2023-06-02
C4809,P297,Category_2,391.04,2023-12-04
C4012,P444,Category_10,322.81,2023-03-18
C3659,P276,Category_1,46.65,2023-09-05
C2828,P171,Category_3,85.01,2023-10-10
C4452,P194,Category_1,449.78,2023-08-22
C2637,P446,Category_6,305.18,2023-04-07
C1957,P293,Category_10,9.55,2023-07-16
C1914,P439,Category_3,55.23,2023-07-30
C0358,P163,Category_1,333.43,2023-08-31
C3124,P198,Category_10,7.51,2023-12-06
C1247,P254,Category_4,84.6,2023-01-19
C1035,P258,Category_8,276.62,2023-10-30
C2720,P446,Category_6,347.49,2023-02-21
C3607,P052,Category_10,327.72,2023-09-27
C3744,P008,Category_9,116.01,2023-03-15
C3359,P446,Category_6,357.53,2023-12-02
C1265,P039,Category_2,122.44,2023-08-29
C2172,P174,Category_9,166.07,2023-11-16
C3257,P333,Category_2,374.51,2023-02-11
C2692,P437,Category_2,326.57,2023-12-12
C4372,P195,Category_10,425.37,2023-06-12
C3998,P447,Category_6,330.52,2023-10-05
C0295,P317,Category_5,286.31,2023-02-05
C1924,P324,Category_10,51.37,2023-12-17
C2355,P117,Category_3,187.02,2023-02-16
C3556,P051,Category_5,136.28,2023-11-21
C0824,P228,Category_8,125.77,2023-03-27
C2454,P463,Category_7,486.64,2023-01-15
C0377,P167,Category_2,199.58,2023-01-29
C2404,P184,Category_7,446.56,2023-07-11
C3529,P075,Category_9,317.41,2023-05-06
C4352,P211,Category_8,398.43,2023-10-17
C1476,P088,Category_7,253.81,2023-03-31
C0647,P313,Category_4,290.57,2023-07-15
C1973,P255,Category_3,248.8,2023-10-26
C1173,P119,Category_7,101.65,2023-08-25
C2081,P236,Category_4,362.61,2023-05-11
C0077,P461,Category_4,143.98,2023-08-27
C2357,P347,Category_3,17.04,2023-10-07
C1295,P038,Category_7,324.51,2023-08-15
C2831,P301,Category_10,92.67,2023-06-03
C3476,P354,Category_5,470.53,2023-05-09
C3743,P433,Category_7,477.19,2023-06-04
C1632,P197,Category_4,457.86,2023-09-05
C0874,P122,Category_7,188.23,2023-07-15
C4686,P184,Category_7,12.65,2023-10-22
C2424,P359,Category_5,464.52,2023-06-01
C0180,P425,Category_4,216.95,2023-12-04
C3243,P141,Category_9,483.49,2023-01-05
C4637,P443,Category_2,481.99,2023-12-18
C0402,P467,Category_6,427.24,2023-11-07
C4070,P427,Category_6,150.75,2023-05-27
C1886,P311,Category_4,195.62,2023-06-30
C1795,P326,Category_2,426.31,2023-04-08
C2054,P348,Category_5,161.88,2023-12-04
C1121,P322,Category_8,88.9,2023-02-19
C0323,P159,Category_2,280.62,2023-08-14
C0274,P297,Category_2,468.4,2023-07-06
C1077,P047,Category_2,349.53,2023-06-01
C2677,P383,Category_6,287.18,2023-08-01
C1439,P103,Category_9,53.1,2023-03-09
C4419,P449,Category_10,309.43,2023-07-07
C4349,P257,Category_8,495.08,2023-05-20
C1348,P132,Category_5,74.34,2023-09-04
C2418,P383,Category_6,261.57,2023-06-23
C0944,P240,Category_3,439.3,2023-02-08
C1154,P387,Category_7,371.68,2023-04-26
C3256,P496,Category_8,350.02,2023-10-13
C2997,P047,Category_2,352.73,2023-07-22
C0115,P136,Category_7,182.95,2023-10-02
C1013,P233,Category_6,150.33,2023-07-08
C2148,P300,Category_10,405.63,2023-07-15
C3044,P056,Category_2,406.01,2023-12-12
C1916,P242,Category_3,434.2,2023-01-13
C4600,P168,Category_8,457.05,2023-11-09
C1814,P332,Category_6,258.11,2023-02-02
C3804,P466,Category_10,253.25,2023-12-25
C2476,P333,Category_2,400.16,2023-07-29
C0956,P072,Category_2,326.73,2023-01-24
C0305,P156,Category_6,352.47,2023-09-10
C0952,P050,Category_9,398.92,2023-05-01
C4404,P070,Category_4,445.55,2023-07-18
C3717,P190,Category_4,172.31,2023-12-10
C4426,P215,Category_10,190.91,2023-10-28
C1266,P454,Category_4,51.52,2023-08-01
C0812,P427,Category_6,291.25,2023-09-08
C3344,P481,Category_3,22.79,2023-05-24
C0269,P354,Category_5,235.47,2023-07-09
C1780,P228,Category_8,273.61,2023-08-16
C1935,P438,Category_5,146.84,2023-07-05
C0814,P352,Category_3,297.46,2023-07-08
C4461,P462,Category_6,20.1,2023-11-27
C2939,P032,Category_5,23.49,2023-07-23
C2261,P098,Category_3,412.19,2023-03-04
C3726,P047,Category_2,183.29,2023-12-06
C1738,P329,Category_9,67.89,2023-11-24
C4892,P498,Category_4,263.51,2023-01-11
C0415,P403,Category_3,386.15,2023-06-20
C1996,P065,Category_8,111.83,2023-10-17
C1682,P036,Category_2,313.33,2023-10-11
C1698,P301,Category_10,47.25,2023-04-21
C1909,P169,Category_2,30.58,2023-03-17
C4883,P002,Category_1,268.02,2023-05-22
C1186,P067,Category_3,272.61,2023-10-04
C2054,P409,Category_7,320.53,2023-03-31
C0901,P339,Category_9,364.42,2023-01-14
C1080,P008,Category_9,488.05,2023-07-03
C1950,P302,Category_1,260.57,2023-06-15
C0130,P090,Category_2,164.86,2023-05-16
C0430,P065,Category_8,398.62,2023-08-04
C4310,P059,Category_5,139.06,2023-02-02
C3902,P230,Category_2,222.29,2023-07-05
C4205,P304,Category_2,43.84,2023-02-25
C3703,P258,Category_8,17.55,2023-04-24
C0356,P373,Category_8,481.51,2023-12-04
C4272,P155,Category_10,418.81,2023-08-23
C0256,P032,Category_5,349.51,2023-09-03
C3291,P219,Category_8,207.43,2023-12-18
C0885,P252,Category_1,90.78,2023-12-31
C3634,P038,Category_7,82.44,2023-02-11
C2639,P312,Category_6,128.87,2023-03-17
C0539,P065,Category_8,276.87,2023-05-21
C4796,P281,Category_1,358.72,2023-12-31
C2664,P196,Category_9,331.8,2023-11-02
C4347,P151,Category_3,143.57,2023-08-21
C4142,P310,Category_5,477.66,2023-08-09
C0813,P407,Category_3,370.26,2023-12-26
C0938,P437,Category_2,279.41,2023-12-02
C4517,P370,Category_3,307.8,2023-04-21
C3524,P232,Category_7,212.7,2023-04-27
C3390,P174,Category_9,127.63,2023-08-21
C3267,P213,Category_9,181.21,2023-02-18
C2561,P219,Category_8,380.13,2023-06-10
C2089,P192,Category_2,12.12,2023-03-20
C3886,P035,Category_6,62.46,2023-02-16
C0700,P048,Category_7,27.77,2023-08-10
C0792,P382,Category_1,25.16,2023-07-10
C1066,P285,Category_9,428.45,2023-01-31
C4805,P490,Category_4,353.31,2023-10-15
C4602,P169,Category_2,239.72,2023-12-10
C1002,P211,Category_8,53.43,2023-07-01
C3465,P445,Category_7,248.35,2023-01-27
C2357,P308,Category_9,239.37,2023-06-09
C2881,P054,Category_10,90.73,2023-10-23
C4157,P109,Category_6,219.76,2023-03-21
C3951,P115,Category_1,202.26,2023-02-25
C2869,P433,Category_7,309.85,2023-10-12
C3012,P059,Category_5,319.37,2023-05-23
C4704,P116,Category_2,27.43,2023-08-08
C4596,P499,Category_9,190.43,2023-11-15
C4561,P014,Category_2,314.8,2023-11-08
C2191,P015,Category_4,254.05,2023-04-03
C2239,P360,Category_9,428.96,2023-06-08
C2784,P180,Category_4,331.05,2023-01-04
C1487,P446,Category_6,85.65,2023-03-15
C4640,P337,Category_3,39.93,2023-07-25
C0571,P073,Category_10,323.0,2023-11-21
C0252,P047,Category_2,18.12,2023-09-29
C1763,P193,Category_6,294.96,2023-08-03
C3717,P175,Category_3,470.41,2023-03-22
C3032,P160,Category_6,289.86,2023-06-16
C4650,P306,Category_10,197.14,2023-02-13
C0431,P080,Category_5,323.43,2023-03-22
C0408,P346,Category_2,231.84,2023-02-11
C2230,P227,Category_7,275.08,2023-12-05
C3474,P249,Category_2,471.03,2023-11-07
C3622,P213,Category_9,196.12,2023-05-20
C1766,P387,Category_7,480.79,2023-09-20
C0933,P177,Category_9,453.15,2023-08-09
C0909,P146,Category_9,101.92,2023-12-14
C4859,P250,Category_1,39.33,2023-09-27
C2527,P024,Category_4,54.89,2023-04-23
C3238,P307,Category_10,14.02,2023-01-29
C0063,P105,Category_10,51.75,2023-06-04
C1731,P393,Category_6,343.09,2023-03-12
C2094,P149,Category_3,40.24,2023-06-17
C0983,P004,Category_4,162.89,2023-09-12
C3528,P090,Category_2,423.21,2023-03-08
C3115,P273,Category_4,16.52,2023-12-27
C1886,P257,Category_8,408.16,2023-10-14
C2902,P037,Category_2,144.52,2023-07-23
C0347,P224,Category_7,63.49,2023-01-10
C3767,P472,Category_7,349.88,2023-02-09
C2565,P295,Category_4,316.33,2023-08-08
C4698,P208,Category_9,439.35,2023-12-30
C3422,P149,Category_3,368.86,2023-02-28
C3319,P011,Category_7,402.72,2023-06-16
C1408,P411,Category_5,144.61,2023-11-13
C3770,P426,Category_7,92.83,2023-12-20
C2965,P046,Category_9,376.55,2023-08-12
C0868,P125,Category_8,404.38,2023-08-12
C4825,P206,Category_6,495.3,2023-09-26
C0645,P203,Category_4,209.25,2023-06-08
C2782,P114,Category_2,189.15,2023-06-20
C1378,P040,Category_6,389.32,2023-09-19
C0935,P272,Category_3,173.7,2023-09-19
C1589,P464,Category_2,465.72,2023-06-28
C2877,P373,Category_8,429.91,2023-11-27
C1210,P121,Category_2,217.35,2023-02-22
C1200,P132,Category_5,376.68,2023-04-12
C1422,P309,Category_6,378.5,2023-03-20
C0618,P091,Category_4,56.05,2023-11-18
C4048,P238,Category_9,451.76,2023-10-16
C4748,P230,Category_2,255.1,2023-12-15
C4625,P330,Category_5,414.1,2023-11-22
C2648,P443,Category_2,163.42,2023-11-18
C2590,P078,Category_8,448.28,2023-08-14
C0560,P241,Category_7,197.65,2023-08-15
C2481,P408,Category_6,10.36,2023-05-21
C4845,P029,Category_3,453.16,2023-06-30
C4157,P038,Category_7,50.19,2023-06-08
C3783,P232,Category_7,163.06,2023-01-20
C0467,P189,Category_2,475.28,2023-05-27
C0629,P331,Category_3,475.55,2023-02-16
C4867,P260,Category_7,288.85,2023-07-16
C3791,P298,Category_10,317.76,2023-10-11
C0337,P231,Category_1,226.98,2023-10-20
C1543,P165,Category_10,150.14,2023-11-06
C3897,P257,Category_8,167.69,2023-03-19
C0507,P231,Category_1,337.9,2023-02-22
C2814,P366,Category_5,377.43,2023-02-13
C4134,P331,Category_3,396.83,2023-03-30
C0321,P127,Category_5,395.86,2023-12-29
C3587,P225,Category_6,50.15,2023-09-26
C4283,P313,Category_4,249.74,2023-03-23
C2982,P191,Category_4,33.49,2023-05-25
C3174,P210,Category_5,277.02,2023-06-23
C4898,P027,Category_5,223.56,2023-11-20
C2742,P034,Category_4,444.41,2023-06-18
C0775,P286,Category_9,178.7,2023-12-14
C3167,P146,Category_9,62.95,2023-05-10
C4938,P448,Category_7,75.78,2023-03-18
C2731,P042,Category_10,381.95,2023-10-26
C1159,P470,Category_9,311.02,2023-06-29
C2542,P496,Category_8,55.06,2023-12-02
C3211,P067,Category_3,46.63,2023-11-01
C0695,P159,Category_2,351.98,2023-10-14
C3086,P330,Category_5,41.02,2023-06-18
C1047,P344,Category_9,411.82,2023-12-26
C4313,P048,Category_7,354.59,2023-11-27
C3469,P261,Category_1,45.27,2023-07-05
C0150,P186,Category_8,46.99,2023-06-08
C1477,P487,Category_1,493.39,2023-04-20
C2800,P486,Category_9,190.26,2023-09-06
C1573,P116,Category_2,188.47,2023-03-12
C1270,P040,Category_6,407.34,2023-06-01
C0829,P260,Category_7,473.89,2023-10-04
C4314,P020,Category_9,493.07,2023-12-05
C2759,P449,Category_10,377.92,2023-11-13
C1074,P306,Category_10,191.25,2023-07-12
C1264,P084,Category_1,46.33,2023-04-03
C1357,P370,Category_3,389.69,2023-08-13
C0358,P211,Category_8,281.41,2023-07-06
C1946,P497,Category_8,214.99,2023-08-16
C2335,P386,Category_3,453.65,2023-08-18
C1917,P274,Category_5,60.04,2023-05-03
C2536,P495,Category_8,248.85,2023-08-29
C1590,P189,Category_2,10.62,2023-12-14
C4673,P226,Category_7,236.99,2023-08-25
C2309,P399,Category_7,32.87,2023-07-15
C4120,P271,Category_8,63.81,2023-08-03
C1328,P419,Category_8,63.18,2023-04-13
C4954,P071,Category_5,326.36,2023-05-09
C0428,P329,Category_9,374.29,2023-09-04
C3041,P284,Category_8,293.77,2023-02-22
C4227,P436,Category_1,481.28,2023-03-05
C2336,P043,Category_5,190.56,2023-03-24
C2235,P231,Category_1,146.43,2023-09-20
C1208,P426,Category_7,434.96,2023-08-12
C0752,P485,Category_7,115.68,2023-04-24
C3696,P453,Category_10,481.8,2023-06-28
C0219,P213,Category_9,11.02,2023-01-28
C3248,P258,Category_8,485.09,2023-07-11
C1932,P198,Category_10,26.36,2023-02-11
C3072,P115,Category_1,446.12,2023-01-15
C2611,P477,Category_3,266.21,2023-02-20
C2747,P406,Category_1,496.52,2023-03-16
C1128,P020,Category_9,41.53,2023-05-27
C3871,P357,Category_6,279.16,2023-03-13
C3843,P230,Category_2,484.8,2023-11-12
C0044,P464,Category_2,263.93,2023-02-10
C0156,P132,Category_5,316.55,2023-04-21
C1225,P281,Category_1,349.4,2023-11-08
C4324,P217,Category_8,230.0,2023-02-26
C2361,P122,Category_7,315.64,2023-06-04
C0999,P025,Category_8,294.24,2023-05-03
C3440,P328,Category_4,451.07,2023-11-15
C3745,P033,Category_3,27.5,2023-02-26
C4095,P306,Category_10,144.08,2023-10-02
C0135,P324,Category_10,475.45,2023-09-21
C4711,P124,Category_10,445.68,2023-03-15
C2387,P220,Category_7,230.55,2023-01-01
C2891,P124,Category_10,311.97,2023-10-20
C3413,P096,Category_7,142.3,2023-12-07
C0702,P269,Category_7,98.12,2023-07-04
C0555,P489,Category_5,234.53,2023-09-27
C4458,P260,Category_7,179.91,2023-09-17
C4540,P011,Category_7,293.91,2023-07-19
C3852,P023,Category_7,43.48,2023-11-22
C3170,P192,Category_2,487.33,2023-05-10
C0134,P183,Category_5,493.17,2023-02-04
C2825,P124,Category_10,350.59,2023-12-03
C0850,P396,Category_2,270.37,2023-10-25
C2724,P069,Category_6,158.22,2023-01-23
C2887,P280,Category_6,407.83,2023-06-23
C1435,P426,Category_7,343.94,2023-12-17
C3807,P357,Category_6,85.5,2023-09-03
C1494,P416,Category_8,455.91,2023-03-11
C0517,P367,Category_1,412.16,2023-08-23
C0303,P151,Category_3,475.15,2023-04-14
C0359,P406,Category_1,364.23,2023-04-13
C0344,P162,Category_4,308.64,2023-06-08
C4223,P204,Category_2,212.03,2023-10-06
C3879,P130,Category_2,466.7,2023-01-19
C1566,P147,Category_10,433.7,2023-07-02
C0392,P444,Category_10,27.38,2023-12-02
C2720,P140,Category_5,18.05,2023-03-05
C3015,P224,Category_7,191.35,2023-07-24
C3603,P459,Category_9,406.22,2023-07-17
C2778,P499,Category_9,493.7,2023-04-06
C4065,P355,Category_10,79.46,2023-09-12
C3010,P474,Category_7,299.09,2023-09-23
C2185,P411,Category_5,193.54,2023-02-12
C3478,P041,Category_6,485.11,2023-08-09
C4936,P422,Category_4,421.85,2023-04-03
C4469,P151,Category_3,419.97,2023-06-14
C0841,P041,Category_6,237.0,2023-06-17
C2422,P157,Category_8,210.34,2023-08-17
C4937,P368,Category_1,140.34,2023-08-07
C1366,P354,Category_5,32.91,2023-08-16
C2880,P229,Category_1,433.04,2023-01-22
C2889,P315,Category_7,407.39,2023-08-11
C2250,P328,Category_4,499.86,2023-01-30
C0615,P344,Category_9,498.34,2023-11-23
C3328,P187,Category_9,279.94,2023-09-20
C1311,P488,Category_5,385.65,2023-01-16
C1170,P435,Category_6,472.66,2023-11-08
C3590,P018,Category_10,425.58,2023-03-06
C0551,P121,Category_2,127.44,2023-11-27
C3001,P186,Category_8,228.02,2023-07-16
C4647,P017,Category_9,68.93,2023-11-06
C1257,P348,Category_5,477.26,2023-08-19
C3039,P191,Category_4,305.06,2023-08-16
C0630,P294,Category_2,118.18,2023-03-12
C4338,P188,Category_8,337.49,2023-07-23
C2576,P333,Category_2,310.97,2023-05-23
C2045,P492,Category_10,182.29,2023-02-28
C0213,P377,Category_1,61.21,2023-04-06
C4089,P266,Category_5,337.43,2023-07-18
C4602,P061,Category_4,262.55,2023-05-15
C2133,P361,Category_8,387.3,2023-08-17
C1758,P314,Category_5,262.48,2023-05-27
C4024,P103,Category_9,426.83,2023-03-04
C1112,P437,Category_2,278.19,2023-02-07
C3704,P089,Category_5,282.66,2023-08-16
C0720,P415,Category_1,438.94,2023-12-16
C2619,P342,Category_9,204.72,2023-06-27
C0532,P282,Category_1,71.34,2023-10-05
C2379,P457,Category_7,19.25,2023-06-03
C1291,P365,Category_7,378.79,2023-12-30
C1427,P407,Category_3,312.05,2023-07-05
C4168,P115,Category_1,353.52,2023-03-04
C1647,P406,Category_1,110.42,2023-03-13
C1940,P405,Category_7,72.5,2023-09-10
C0216,P185,Category_6,12.2,2023-10-11
C4689,P189,Category_2,178.54,2023-08-28
C4520,P067,Category_3,297.01,2023-11-10
C0707,P034,Category_4,199.16,2023-06-08
C3262,P368,Category_1,221.55,2023-09-03
C4307,P211,Category_8,452.56,2023-07-29
C4710,P038,Category_7,177.39,2023-03-06
C2598,P329,Category_9,259.42,2023-02-07
C3687,P239,Category_8,392.91,2023-12-15
C4239,P177,Category_9,201.29,2023-03-07
C4517,P328,Category_4,312.93,2023-10-28
C1491,P394,Category_4,431.87,2023-03-08
C3545,P258,Category_8,475.01,2023-01-29
C1018,P266,Category_5,77.8,2023-03-20
C2492,P085,Category_4,463.66,2023-03-24
C2644,P479,Category_7,248.6,2023-12-30
C1848,P178,Category_10,132.83,2023-09-23
C2327,P434,Category_9,232.27,2023-02-10
C2053,P101,Category_4,490.12,2023-11-22
C4513,P141,Category_9,248.85,2023-03-06
C2481,P315,Category_7,167.73,2023-10-01
C0766,P258,Category_8,318.53,2023-11-25
C1382,P304,Category_2,123.87,2023-10-25
C1264,P088,Category_7,42.55,2023-12-04
C4958,P173,Category_8,68.8,2023-10-16
C0338,P423,Category_4,68.38,2023-01-15
C0666,P024,Category_4,80.19,2023-11-25
C4725,P136,Category_7,73.72,2023-11-30
C1727,P393,Category_6,322.23,2023-10-20
C3413,P317,Category_5,95.03,2023-11-24
C0249,P255,Category_3,176.11,2023-11-18
C4470,P149,Category_3,448.91,2023-11-25
C2475,P248,Category_9,239.61,2023-05-06
C3327,P153,Category_9,335.44,2023-08-21
C0598,P353,Category_5,90.3,2023-01-31
C1295,P226,Category_7,100.18,2023-08-01
C3967,P238,Category_9,25.23,2023-04-15
C2787,P311,Category_4,88.62,2023-03-15
C2561,P442,Category_1,142.9,2023-06-13
C2830,P500,Category_8,92.62,2023-07-24
C1072,P390,Category_5,48.91,2023-07-09
C4219,P288,Category_1,64.71,2023-02-24
C2615,P124,Category_10,233.09,2023-08-27
